Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,symmetric,0.21000000000000002,0.2826986476302627
75% Corpus,4,symmetric,0.41000000000000003,0.2817879012319895
75% Corpus,4,symmetric,0.6100000000000001,0.376100191813972
75% Corpus,4,symmetric,0.81,0.3965082541792889
75% Corpus,4,symmetric,symmetric,0.27976339914867193
75% Corpus,4,asymmetric,0.01,0.28391224120517533
75% Corpus,4,asymmetric,0.21000000000000002,0.2872250772612701
75% Corpus,4,asymmetric,0.41000000000000003,0.3523712606215788
75% Corpus,4,asymmetric,0.6100000000000001,0.34927929986587625
75% Corpus,4,asymmetric,0.81,0.4053266163644804
75% Corpus,4,asymmetric,symmetric,0.28588860822403345
75% Corpus,5,0.01,0.01,0.2815053407845988
75% Corpus,5,0.01,0.21000000000000002,0.27020068380283135
75% Corpus,5,0.01,0.41000000000000003,0.3371148535085048
75% Corpus,5,0.01,0.6100000000000001,0.35974536294043025
75% Corpus,5,0.01,0.81,0.48920349466007884
75% Corpus,5,0.01,symmetric,0.2667904053291125
75% Corpus,5,0.21000000000000002,0.01,0.2816129292833487
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.27583300345079664
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.3268537450193171
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.3896305265424689
75% Corpus,5,0.21000000000000002,0.81,0.44161912292071737
75% Corpus,5,0.21000000000000002,symmetric,0.271375907016391
75% Corpus,5,0.41000000000000003,0.01,0.27990525562953994
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.27469645305185486
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.3115648373496443
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.3742816588281288
75% Corpus,5,0.41000000000000003,0.81,0.5386928612917067
75% Corpus,5,0.41000000000000003,symmetric,0.2787667042392261
75% Corpus,5,0.6100000000000001,0.01,0.2812900080197417
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.2778071606427615
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.30963316681130204
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.3529586124035521
75% Corpus,5,0.6100000000000001,0.81,0.4860714015632429
75% Corpus,5,0.6100000000000001,symmetric,0.28032302458224967
75% Corpus,5,0.81,0.01,0.27817825665403684
75% Corpus,5,0.81,0.21000000000000002,0.2817316830247852
75% Corpus,5,0.81,0.41000000000000003,0.29513713953115134
75% Corpus,5,0.81,0.6100000000000001,0.32492393414371146
75% Corpus,5,0.81,0.81,0.4492406135158154
75% Corpus,5,0.81,symmetric,0.28025951470065436
75% Corpus,5,symmetric,0.01,0.28542959771666004
75% Corpus,5,symmetric,0.21000000000000002,0.27252159382841395
75% Corpus,5,symmetric,0.41000000000000003,0.33948438801372643
75% Corpus,5,symmetric,0.6100000000000001,0.399607685163359
75% Corpus,5,symmetric,0.81,0.5070977631152582
75% Corpus,5,symmetric,symmetric,0.271375907016391
75% Corpus,5,asymmetric,0.01,0.28095955379477944
75% Corpus,5,asymmetric,0.21000000000000002,0.33413564485574065
75% Corpus,5,asymmetric,0.41000000000000003,0.3137442360654609
75% Corpus,5,asymmetric,0.6100000000000001,0.39186402404064624
75% Corpus,5,asymmetric,0.81,0.4605528736831226
75% Corpus,5,asymmetric,symmetric,0.3251081498115706
75% Corpus,6,0.01,0.01,0.2892829528048304
75% Corpus,6,0.01,0.21000000000000002,0.3290357280272122
75% Corpus,6,0.01,0.41000000000000003,0.3999363386037364
75% Corpus,6,0.01,0.6100000000000001,0.4250397958888
75% Corpus,6,0.01,0.81,0.3827211005691297
75% Corpus,6,0.01,symmetric,0.30673522243204454
75% Corpus,6,0.21000000000000002,0.01,0.28521269283964507
75% Corpus,6,0.21000000000000002,0.21000000000000002,0.32365464698249596
75% Corpus,6,0.21000000000000002,0.41000000000000003,0.38380763636295195
75% Corpus,6,0.21000000000000002,0.6100000000000001,0.44618667479446367
75% Corpus,6,0.21000000000000002,0.81,0.4027791266085548
75% Corpus,6,0.21000000000000002,symmetric,0.312308397954882
75% Corpus,6,0.41000000000000003,0.01,0.29390984869814774
75% Corpus,6,0.41000000000000003,0.21000000000000002,0.30243182000562
75% Corpus,6,0.41000000000000003,0.41000000000000003,0.3650183155847284
75% Corpus,6,0.41000000000000003,0.6100000000000001,0.4522311051849445
75% Corpus,6,0.41000000000000003,0.81,0.4176340835665486
75% Corpus,6,0.41000000000000003,symmetric,0.30053160966057374
75% Corpus,6,0.6100000000000001,0.01,0.2983586035527028
75% Corpus,6,0.6100000000000001,0.21000000000000002,0.28762606001280383
75% Corpus,6,0.6100000000000001,0.41000000000000003,0.3318714876868045
75% Corpus,6,0.6100000000000001,0.6100000000000001,0.4453879396587987
75% Corpus,6,0.6100000000000001,0.81,0.40245046995511885
75% Corpus,6,0.6100000000000001,symmetric,0.2811000519345089
75% Corpus,6,0.81,0.01,0.29022258206464757
75% Corpus,6,0.81,0.21000000000000002,0.27424986496232867
75% Corpus,6,0.81,0.41000000000000003,0.3424541266285881
75% Corpus,6,0.81,0.6100000000000001,0.40340707887487254
75% Corpus,6,0.81,0.81,0.4147271652004578
75% Corpus,6,0.81,symmetric,0.2820439318369582
75% Corpus,6,symmetric,0.01,0.28872598134736566
75% Corpus,6,symmetric,0.21000000000000002,0.3180715373250598
75% Corpus,6,symmetric,0.41000000000000003,0.39845804298130266
75% Corpus,6,symmetric,0.6100000000000001,0.4024266575916078
75% Corpus,6,symmetric,0.81,0.4101738890488023
75% Corpus,6,symmetric,symmetric,0.313562564047374
75% Corpus,6,asymmetric,0.01,0.2812078796263113
75% Corpus,6,asymmetric,0.21000000000000002,0.30729562476747835
75% Corpus,6,asymmetric,0.41000000000000003,0.3327865685574932
75% Corpus,6,asymmetric,0.6100000000000001,0.427823400797037
75% Corpus,6,asymmetric,0.81,0.5462951613572521
75% Corpus,6,asymmetric,symmetric,0.31672159034690733
75% Corpus,7,0.01,0.01,0.2757010510290458
75% Corpus,7,0.01,0.21000000000000002,0.29927562298429705
75% Corpus,7,0.01,0.41000000000000003,0.4281354444086339
75% Corpus,7,0.01,0.6100000000000001,0.4688043129430687
75% Corpus,7,0.01,0.81,0.5459289165348505
75% Corpus,7,0.01,symmetric,0.2965408314810562
75% Corpus,7,0.21000000000000002,0.01,0.27683284837717703
75% Corpus,7,0.21000000000000002,0.21000000000000002,0.29824531114287783
75% Corpus,7,0.21000000000000002,0.41000000000000003,0.39331811216267637
75% Corpus,7,0.21000000000000002,0.6100000000000001,0.4964694547704357
75% Corpus,7,0.21000000000000002,0.81,0.5529210028540198
75% Corpus,7,0.21000000000000002,symmetric,0.2899819645088485
75% Corpus,7,0.41000000000000003,0.01,0.27460608417429644
75% Corpus,7,0.41000000000000003,0.21000000000000002,0.3175819663891648
75% Corpus,7,0.41000000000000003,0.41000000000000003,0.41441906325781824
75% Corpus,7,0.41000000000000003,0.6100000000000001,0.4533600710327396
75% Corpus,7,0.41000000000000003,0.81,0.5206403337023398
75% Corpus,7,0.41000000000000003,symmetric,0.29725665859403877
75% Corpus,7,0.6100000000000001,0.01,0.28346910606759107
75% Corpus,7,0.6100000000000001,0.21000000000000002,0.2946517918590143
75% Corpus,7,0.6100000000000001,0.41000000000000003,0.3628391696947639
75% Corpus,7,0.6100000000000001,0.6100000000000001,0.425084806457594
75% Corpus,7,0.6100000000000001,0.81,0.4334222966797247
75% Corpus,7,0.6100000000000001,symmetric,0.30552875975024846
75% Corpus,7,0.81,0.01,0.2877600581753934
75% Corpus,7,0.81,0.21000000000000002,0.2927468460738235
75% Corpus,7,0.81,0.41000000000000003,0.3269572014919509
75% Corpus,7,0.81,0.6100000000000001,0.4007581471063931
75% Corpus,7,0.81,0.81,0.4089773451900895
75% Corpus,7,0.81,symmetric,0.29198890742060096
75% Corpus,7,symmetric,0.01,0.2789618642599205
75% Corpus,7,symmetric,0.21000000000000002,0.303533463412435
75% Corpus,7,symmetric,0.41000000000000003,0.427224584462789
75% Corpus,7,symmetric,0.6100000000000001,0.46528986323477967
